activation,batch_size,best_acc,best_loss,best_train_acc,best_train_loss,filter1,kernelsize_1,filter2,kernelsize_2,filter3,kernelsize_3,hidden_1,hidden_2,learning_rate,momentum,optimizer,p_reduct,step_1_test_acc,step_1_test_loss,step_2_test_acc,step_2_test_loss,step_3_test_acc,step_3_test_loss,step_4_test_acc,step_4_test_loss,step_5_test_acc,step_5_test_loss,step_6_test_acc,step_6_test_loss,step_7_test_acc,step_7_test_loss,step_8_test_acc,step_8_test_loss,step_9_test_acc,step_9_test_loss,step_10_test_acc,step_10_test_loss,step_11_test_acc,step_11_test_loss,step_12_test_acc,step_12_test_loss,step_13_test_acc,step_13_test_loss,step_14_test_acc,step_14_test_loss,step_15_test_acc,step_15_test_loss,step_16_test_acc,step_16_test_loss,step_17_test_acc,step_17_test_loss,step_18_test_acc,step_18_test_loss,step_19_test_acc,step_19_test_loss,step_20_test_acc,step_20_test_loss,step_21_test_acc,step_21_test_loss,step_22_test_acc,step_22_test_loss,step_23_test_acc,step_23_test_loss,step_24_test_acc,step_24_test_loss,step_25_test_acc,step_25_test_loss,step_26_test_acc,step_26_test_loss,step_27_test_acc,step_27_test_loss,step_28_test_acc,step_28_test_loss,step_29_test_acc,step_29_test_loss,step_30_test_acc,step_30_test_loss,step_31_test_acc,step_31_test_loss,step_32_test_acc,step_32_test_loss,step_33_test_acc,step_33_test_loss,step_34_test_acc,step_34_test_loss,step_35_test_acc,step_35_test_loss,step_36_test_acc,step_36_test_loss,step_37_test_acc,step_37_test_loss,step_38_test_acc,step_38_test_loss,step_39_test_acc,step_39_test_loss,step_40_test_acc,step_40_test_loss,step_41_test_acc,step_41_test_loss,step_42_test_acc,step_42_test_loss,step_43_test_acc,step_43_test_loss,step_44_test_acc,step_44_test_loss,step_45_test_acc,step_45_test_loss,step_46_test_acc,step_46_test_loss,step_47_test_acc,step_47_test_loss,step_48_test_acc,step_48_test_loss,step_49_test_acc,step_49_test_loss,step_50_test_acc,step_50_test_loss
relu,64,0.7965,0.5951137,0.728682289,0.764486322,96,5,96,3,96,4,100,125,0.0015,0.95,adam,0,0.4229,1.5995708,0.5202,1.3417253,0.553,1.2847539,0.5807,1.189023,0.5654,1.2296723,0.613,1.1247842,0.6011,1.2235527,0.6038,1.1725215,0.7076,0.8402135,0.6967,0.8799945,0.6906,0.9029512,0.5593,1.2707651,0.6972,0.8523832,0.666,0.966982,0.7177,0.82189393,0.733,0.7716922,0.7554,0.70535535,0.7412,0.7470013,0.6562,1.0071324,0.7483,0.7194237,0.7098,0.8390931,0.7584,0.69979227,0.7546,0.7151818,0.6989,0.8959863,0.7402,0.7595832,0.7536,0.7045529,0.7474,0.734913,0.7665,0.6682005,0.7512,0.71650857,0.7769,0.6435764,0.7143,0.8479919,0.7804,0.6321642,0.7727,0.650877,0.7241,0.79202014,0.7649,0.67180204,0.7621,0.67926615,0.7443,0.73219943,0.6896,0.94930625,0.7426,0.76233417,0.7867,0.61740196,0.7536,0.7171017,0.7589,0.7045456,0.7815,0.6399403,0.7329,0.7990305,0.7778,0.6500159,0.7965,0.5951137,0.7559,0.7078964,0.7782,0.6525408,0.756,0.70403075,0.6551,1.0797051
relu,64,0.8126,0.5497686,0.760175838,0.67615101,64,5,128,5,128,5,100,100,0.0015,0.99,adam,0,0.4998,1.3901525,0.5883,1.1532083,0.576,1.2494117,0.6396,1.00756,0.5116,1.4117613,0.6838,0.8865967,0.6262,1.0445186,0.7069,0.84290546,0.5749,1.3087984,0.7458,0.73074394,0.6456,1.027054,0.7231,0.78012717,0.7412,0.7415663,0.7522,0.72786444,0.7369,0.7730451,0.7678,0.6801399,0.7296,0.8038794,0.7677,0.6889053,0.7499,0.7357822,0.7719,0.65993357,0.7318,0.7950133,0.7142,0.8672665,0.7555,0.7166855,0.7569,0.70307034,0.7825,0.6298591,0.7517,0.7360955,0.8088,0.56913865,0.7938,0.6070676,0.7777,0.6605437,0.7896,0.6284955,0.7923,0.61162657,0.7448,0.75900453,0.7711,0.6831381,0.7752,0.6794174,0.8103,0.56107605,0.7754,0.6702947,0.7866,0.65261465,0.8004,0.5934877,0.8074,0.5641462,0.7784,0.6615623,0.8093,0.56289756,0.8126,0.5497686,0.7348,0.8326461,0.7709,0.6791374,0.8093,0.56684506,0.7609,0.7394767,0.7961,0.61145175,0.7995,0.61075467,0.7929,0.61332893,0.7896,0.64221156
relu,64,0.7886,0.6155615,0.729345274,0.762989919,64,4,64,4,128,4,100,125,0.0015,0.95,adam,0,0.464,1.4587938,0.5537,1.2350742,0.5157,1.3241925,0.6312,1.0239147,0.5717,1.2339832,0.5945,1.1423624,0.6798,0.90651774,0.6753,0.9021543,0.6815,0.8803396,0.636,1.0459735,0.6937,0.8632152,0.611,1.1490296,0.646,1.0455554,0.5507,1.290791,0.7472,0.7236731,0.6999,0.844476,0.7434,0.73071617,0.7252,0.77457005,0.7306,0.7697696,0.7428,0.73654974,0.689,0.9165149,0.6959,0.87413937,0.7662,0.66758466,0.7641,0.6949343,0.7615,0.6914474,0.7388,0.75355536,0.7244,0.82287014,0.7281,0.79068476,0.7593,0.69895375,0.7304,0.7809138,0.7768,0.65340555,0.7724,0.6650036,0.7445,0.75331515,0.7825,0.63238996,0.7839,0.629152,0.7773,0.66582835,0.7351,0.79207206,0.7772,0.65615016,0.7701,0.68464375,0.7733,0.6690798,0.7706,0.67104244,0.7814,0.64668447,0.7886,0.6155615,0.7656,0.6895673,0.7249,0.82816476,0.78,0.6624569,0.7778,0.65733176,0.7838,0.64857537,0.7849,0.6322203,0.7768,0.6604824
relu,32,0.8024,0.5779421,0.752613644,0.696139968,64,5,128,5,96,4,125,125,0.001,0.9,adam,0,0.5104,1.3569278,0.3385,2.2331328,0.5496,1.2725801,0.5861,1.2142156,0.6459,0.99553007,0.6525,0.97185194,0.6809,0.89227754,0.7123,0.8028114,0.6804,0.899192,0.7406,0.744694,0.7443,0.7349925,0.7027,0.84624314,0.6995,0.8666467,0.7429,0.7344884,0.6997,0.8677867,0.6901,0.8797898,0.7679,0.6726964,0.7333,0.76949453,0.7602,0.6867431,0.7572,0.7076625,0.7439,0.75897664,0.7488,0.7312918,0.7769,0.6467906,0.7605,0.70222336,0.775,0.65635306,0.7877,0.62910956,0.743,0.76141566,0.7816,0.64118826,0.72,0.8389594,0.7666,0.68101525,0.7757,0.663841,0.7374,0.7847433,0.7971,0.5977609,0.7777,0.66805476,0.7862,0.6202472,0.7641,0.6993466,0.7837,0.63616985,0.7856,0.64604115,0.7989,0.5884476,0.7963,0.5959055,0.7653,0.67754704,0.7845,0.63212276,0.7981,0.583027,0.7671,0.6939604,0.7864,0.636048,0.7645,0.7012684,0.8002,0.5812453,0.8024,0.5779421,0.8025,0.5861998,0.7976,0.5946875
relu,32,0.8044,0.5769301,0.744992793,0.723092985,96,5,128,4,128,5,125,125,0.002,0.95,adam,0,0.4452,1.5205919,0.5176,1.4075172,0.6096,1.111541,0.6536,1.0035917,0.5837,1.2104745,0.6517,1.0149448,0.6182,1.0885217,0.6946,0.86299217,0.6879,0.9210193,0.6712,0.96172404,0.7275,0.8012975,0.7434,0.7377355,0.7408,0.7516251,0.7096,0.8289375,0.7204,0.81546277,0.7043,0.8514825,0.766,0.67527777,0.763,0.6823831,0.7589,0.69329846,0.7699,0.6789058,0.7462,0.74902177,0.7617,0.69465506,0.7085,0.8949076,0.7467,0.761861,0.7551,0.73254657,0.7846,0.63484347,0.7346,0.80325437,0.7591,0.71822345,0.7774,0.64482546,0.762,0.6840862,0.7768,0.65909916,0.7349,0.79938686,0.7946,0.6093573,0.7971,0.5821737,0.7955,0.6031931,0.7845,0.6409114,0.7963,0.5938498,0.7865,0.63013184,0.7625,0.71540534,0.758,0.7299738,0.7843,0.6541149,0.8044,0.5769301,0.7982,0.6068622,0.7866,0.62370574,0.803,0.5785798,0.7847,0.6546693,0.7772,0.68451196,0.7893,0.6246429,0.798,0.60205674,0.807,0.5802605
relu,32,0.8184,0.54173833,0.764177958,0.673499896,96,5,128,4,128,5,100,100,0.0015,0.95,adam,0,0.4428,1.5340316,0.584,1.145248,0.5243,1.3294194,0.6743,0.9336736,0.6061,1.1143147,0.6693,0.9246451,0.7226,0.79767495,0.7282,0.7752883,0.5381,1.4997828,0.7402,0.7486177,0.6853,0.93004143,0.7232,0.78198415,0.7114,0.83769387,0.7663,0.67027843,0.7019,0.86164504,0.738,0.7439789,0.7559,0.69244415,0.7584,0.71165144,0.7819,0.6377235,0.7874,0.62126,0.7562,0.70810986,0.7924,0.6055856,0.7753,0.653389,0.7045,0.9245083,0.7737,0.6635198,0.7444,0.7770711,0.7605,0.7069692,0.7967,0.58869344,0.7769,0.6502805,0.7939,0.6014527,0.7841,0.6478594,0.7937,0.60523325,0.7798,0.65487736,0.8021,0.5900027,0.7925,0.60920036,0.7231,0.84485507,0.7766,0.67272556,0.8073,0.5746789,0.7716,0.6972004,0.8108,0.55808115,0.7683,0.6999148,0.7865,0.6476533,0.7992,0.5980921,0.8019,0.5858494,0.7661,0.7029763,0.8029,0.57979685,0.8184,0.54173833,0.8176,0.54564023,0.7385,0.8114959,0.8182,0.5496137
relu,64,0.7798,0.63215554,0.721139132,0.787048847,96,5,96,3,96,5,100,100,0.003,0.9,adam,0,0.3116,2.1173923,0.5414,1.2715902,0.4894,1.4149667,0.2974,2.5625954,0.6175,1.0869857,0.5491,1.3115807,0.528,1.4291986,0.6082,1.1271006,0.6087,1.1126004,0.5327,1.4302045,0.7034,0.8310215,0.6486,1.013809,0.5765,1.3805406,0.7218,0.7952078,0.7041,0.84737307,0.6541,1.006956,0.6812,0.9554677,0.5067,1.5487322,0.7317,0.781359,0.6706,0.9642875,0.63,1.1051341,0.6648,0.983813,0.6585,1.0401889,0.7501,0.716063,0.7318,0.77247334,0.6859,0.9407471,0.7358,0.759307,0.7317,0.7579612,0.7278,0.81516147,0.6205,1.1914654,0.7468,0.72861046,0.7557,0.70048505,0.7173,0.8239552,0.7323,0.76892346,0.7032,0.8860708,0.7232,0.8034348,0.7635,0.6897238,0.7033,0.8585976,0.7537,0.70483077,0.755,0.70334584,0.7718,0.6582588,0.7808,0.6361876,0.7088,0.8555986,0.6675,0.985648,0.7625,0.7051293,0.7152,0.82777,0.7798,0.63215554,0.7511,0.72091526,0.7422,0.7458463,0.7674,0.67017746
relu,32,0.7967,0.60574704,0.739492895,0.732104279,64,4,96,3,128,4,125,125,0.001,0.9,adam,0,0.4607,1.5198627,0.5824,1.1971277,0.6101,1.1054771,0.5906,1.1555054,0.5289,1.3411803,0.5926,1.1803967,0.6493,0.9798172,0.6973,0.86416376,0.6444,1.0467842,0.6992,0.87620056,0.7142,0.80743426,0.7164,0.82509893,0.7272,0.785732,0.7401,0.73785657,0.7078,0.8425516,0.736,0.7717125,0.6871,0.9147584,0.6832,0.926374,0.7391,0.749141,0.7402,0.7718212,0.756,0.7029166,0.7178,0.82324475,0.7587,0.7010286,0.7665,0.67506486,0.749,0.73848945,0.7457,0.7476629,0.7597,0.6922853,0.7732,0.6648942,0.7569,0.70910144,0.7534,0.7142081,0.7582,0.7142489,0.7843,0.6280811,0.7696,0.6787756,0.7695,0.67734694,0.6914,0.9375237,0.756,0.71788347,0.7764,0.6604506,0.7899,0.6288564,0.7731,0.6646612,0.7299,0.82344,0.7787,0.66331434,0.7664,0.68915105,0.7609,0.7147516,0.7404,0.7852366,0.791,0.61585456,0.7798,0.65979564,0.7741,0.6795721,0.7877,0.6263832,0.7967,0.60574704,0.7903,0.6235214
relu,32,0.7929,0.60871345,0.731696977,0.756913262,64,5,96,3,128,4,125,100,0.0015,0.9,adam,0,0.4862,1.4028926,0.5377,1.3142127,0.5738,1.1781776,0.6207,1.0896281,0.6601,0.96088946,0.6478,0.99500966,0.6712,0.9432434,0.6552,0.980229,0.679,0.9184367,0.7043,0.8544364,0.7027,0.83988965,0.7096,0.83319825,0.693,0.9049628,0.7404,0.7425369,0.7219,0.78692514,0.7316,0.7645391,0.5556,1.3183104,0.6992,0.8789918,0.6781,0.93350536,0.7007,0.85994387,0.7035,0.85373455,0.7668,0.67283046,0.7575,0.6946411,0.7404,0.74013466,0.753,0.71855193,0.7693,0.67314327,0.7786,0.64701676,0.7338,0.77416277,0.7629,0.6982806,0.7607,0.6871602,0.7657,0.6942636,0.7244,0.8088377,0.7664,0.67966694,0.7387,0.7684568,0.7704,0.6745544,0.7577,0.6956135,0.769,0.6807601,0.7279,0.8054594,0.759,0.72515285,0.7812,0.6431364,0.7347,0.78881997,0.7757,0.6537589,0.7485,0.74887586,0.7751,0.65367854,0.7747,0.6653639,0.7591,0.69514924,0.7508,0.7412999,0.763,0.70025223,0.7595,0.7160841,0.7929,0.60871345
relu,64,0.7957,0.5898514,0.729627806,0.767260481,96,4,128,3,128,4,100,125,0.001,0.99,adam,0,0.5058,1.4121307,0.5259,1.3486875,0.5783,1.1801956,0.5966,1.1265273,0.5188,1.4465963,0.6077,1.0993694,0.6638,0.93671495,0.6746,0.91516745,0.6508,1.0015996,0.7152,0.8036337,0.5054,1.5588613,0.7209,0.79012793,0.7141,0.83912605,0.7227,0.7891815,0.7468,0.7121296,0.7247,0.811408,0.6659,0.9871658,0.7571,0.71304864,0.7508,0.7143843,0.7661,0.67005247,0.7708,0.66625184,0.6828,0.95714796,0.7345,0.7752619,0.7064,0.87911135,0.691,0.9110147,0.7814,0.63358027,0.7624,0.6988347,0.7659,0.6725663,0.7463,0.7540377,0.7902,0.6129319,0.7957,0.5898514,0.752,0.7388572,0.7465,0.7268372,0.7657,0.6852749,0.726,0.8047204,0.767,0.711669,0.7832,0.6322568,0.7841,0.6234402,0.7404,0.78104335,0.7955,0.5908977,0.7826,0.63519293,0.771,0.6757475,0.7748,0.6713716,0.7858,0.63493806,0.794,0.60103273,0.7793,0.6443792,0.7734,0.6935824,0.7617,0.7180042,0.7804,0.6613923,0.7982,0.602962
