filter1,kernelsize_1,filter2,kernelsize_2,filter3,kernelsize_3,hidden_1,hidden_2,activation,learning_rate,batch_size,momentum,p_reduct,optimizer,best_loss,best_acc,best_train_acc,best_train_loss,no_epochs,logdir
96,4,96,4,128,4,100,100,lrelu,0.002,64,0.99,0,adam,0.7091818451881409,0.7504000067710876,0.6601591691169245,0.9469683979297506,34,./log/run-20200520T193401/
64,5,96,4,96,4,100,100,lrelu,0.002,64,0.95,0,adam,0.7638724446296692,0.7289999723434448,0.6255824363231659,1.0522254566919236,26,./log/run-20200520T193637/
96,4,128,5,96,4,125,125,lrelu,0.0015,64,0.99,0,adam,0.682820200920105,0.7616000175476074,0.6805611031896928,0.8977583901671802,39,./log/run-20200520T193816/
64,5,96,5,128,5,125,125,lrelu,0.001,64,0.9,0,adam,0.7429357171058655,0.7421000003814697,0.6296032577909921,1.0338885161751195,24,./log/run-20200520T194101/
64,4,96,5,128,4,125,125,lrelu,0.002,64,0.99,0,adam,0.7780253291130066,0.7297999858856201,0.6268000188022852,1.038773338675499,25,./log/run-20200520T194240/
96,5,128,4,96,5,125,125,lrelu,0.0015,64,0.9,0,adam,0.7044422030448914,0.7576000094413757,0.6614102741579214,0.9441446696221828,29,./log/run-20200520T194415/
96,4,128,5,96,5,100,125,lrelu,0.003,64,0.99,0,adam,0.7968480587005615,0.7217000126838684,0.6178461727499962,1.0736908161640166,19,./log/run-20200520T194627/
96,5,96,4,96,4,100,100,lrelu,0.0015,64,0.99,0,adam,0.6912007927894592,0.7595999836921692,0.6666022155838354,0.9294684921332768,40,./log/run-20200520T194752/
96,5,128,4,128,4,125,100,lrelu,0.002,64,0.95,0,adam,0.6750627160072327,0.7630000114440918,0.6725274900453432,0.9185219355566161,33,./log/run-20200520T195034/
96,4,128,5,128,4,100,125,lrelu,0.001,64,0.99,0,adam,0.7010833024978638,0.7570000290870667,0.6618338635921478,0.9441410192012787,30,./log/run-20200520T195259/
64,5,128,4,96,4,125,100,lrelu,0.003,64,0.99,0,adam,0.7164248824119568,0.7501999735832214,0.6591296890633447,0.9523902782712664,40,./log/run-20200520T195507/
64,5,128,4,96,5,100,125,lrelu,0.001,64,0.9,0,adam,0.7394693493843079,0.742900013923645,0.640401356285033,1.008847717150398,28,./log/run-20200520T195745/
96,4,128,4,128,4,100,125,lrelu,0.001,64,0.95,0,adam,0.6974366903305054,0.751800000667572,0.639589761807805,1.0082161348206655,26,./log/run-20200520T195943/
96,4,96,5,128,4,100,100,lrelu,0.001,64,0.9,0,adam,0.7286055684089661,0.7409999966621399,0.6447090482970943,1.0028219414793926,28,./log/run-20200520T200135/
64,5,96,5,128,4,125,125,lrelu,0.0015,64,0.99,0,adam,0.7148632407188416,0.7523999810218811,0.6607739109162128,0.9473700387911363,38,./log/run-20200520T200327/
64,5,96,5,96,4,125,100,lrelu,0.001,64,0.99,0,adam,0.7964586019515991,0.7221999764442444,0.6186080774381048,1.062194423107874,26,./log/run-20200520T200552/
96,4,96,5,128,5,100,100,lrelu,0.003,64,0.99,0,adam,0.9091613292694092,0.682699978351593,0.5487179670731227,1.263665726184845,11,./log/run-20200520T200732/
96,5,96,5,96,4,100,125,lrelu,0.003,64,0.99,0,adam,0.7461181879043579,0.7444999814033508,0.6448428280975508,1.0120580481446309,28,./log/run-20200520T200819/
96,4,128,4,128,5,125,125,lrelu,0.002,64,0.99,0,adam,0.7036877870559692,0.7580999732017517,0.656223794086413,0.9630063231966712,27,./log/run-20200520T201012/
64,4,128,4,96,5,100,125,lrelu,0.001,64,0.99,0,adam,0.6989463567733765,0.7558000087738037,0.6680192486941814,0.9395526142790913,37,./log/run-20200520T201217/
